"sex","yr","age","cgpa","bdevice","adevice","devuse.score","sleep.score","social.score","psych.score","acad.score","class"
"0","1","0","2","1","0",2,3,14,17,14,1
"1","4","2","3","0","0",2,3,8,11,6,2
"0","0","0","3","4","1",4,11,16,20,16,3
"1","1","0","1","0","0",1,0,10,16,12,2
"1","2","0","1","0","0",0,0,10,9,11,2
"0","1","0","1","1","0",4,7,14,20,16,3
"0","2","0","1","0","0",4,2,15,20,12,1
"1","0","1","2","0","0",0,0,16,15,11,2
"0","1","0","3","0","0",0,1,13,19,12,1
"0","0","0","1","4","4",5,6,10,15,15,3
"0","1","0","3","0","1",2,10,0,6,6,2
"0","3","0","2","1","0",2,0,12,18,11,2
"0","0","0","3","0","0",3,3,16,20,16,1
"0","2","0","2","1","0",0,7,15,18,11,3
"0","1","0","3","1","0",3,2,12,18,13,1
"1","1","0","2","4","1",2,-1,11,15,11,2
"0","2","0","2","1","0",2,0,11,15,11,2
"0","2","0","3","2","0",7,9,14,18,14,3
"0","1","0","2","0","1",-2,3,16,20,11,1
"0","2","0","2","1","0",3,1,15,19,16,1
"0","2","0","2","1","1",1,4,13,20,13,1
"0","1","1","2","1","1",2,1,14,15,13,2
"0","3","0","2","4","0",2,5,10,15,15,1
"0","1","0","2","1","1",2,-1,13,19,16,1
"0","3","0","2","1","0",4,6,16,20,13,3
"0","2","0","1","1","0",-1,2,16,20,14,1
"0","1","0","1","1","1",1,2,15,20,16,1
"1","1","0","0","1","1",3,-2,13,16,11,2
"0","1","0","2","1","1",2,3,14,20,16,1
"0","1","0","3","0","1",3,2,14,18,15,1
"0","0","0","2","0","0",3,2,16,20,15,1
"0","1","0","1","1","3",3,3,11,15,11,2
"0","1","0","2","1","3",-1,0,15,20,12,1
"0","1","0","1","1","0",1,3,16,20,16,1
"0","1","0","1","1","1",2,0,12,15,15,2
"0","0","0","3","1","0",3,8,15,20,13,3
"0","3","0","0","0","1",5,3,11,17,11,2
"0","3","0","1","1","1",0,0,10,19,14,1
"0","0","0","2","1","1",2,3,16,20,16,1
"0","3","0","2","1","0",0,5,15,19,13,1
"0","1","0","0","1","1",6,6,16,19,16,3
"0","1","0","2","1","0",3,0,14,20,13,1
"0","0","0","1","1","1",0,-1,10,15,12,2
"0","3","0","2","1","0",4,5,14,19,13,3
"0","1","0","2","1","0",2,2,13,17,14,1
"0","1","0","1","0","1",5,4,15,19,15,3
"1","0","0","1","1","1",3,6,13,20,14,3
"0","3","0","2","0","0",0,2,11,18,13,1
"1","3","0","1","1","1",3,2,9,17,13,2
"0","0","0","1","1","1",1,0,10,15,11,2
"0","0","0","1","1","1",0,-1,16,20,11,1
"0","2","0","2","1","0",3,4,10,14,5,2
"0","0","2","2","0","0",3,6,10,15,6,2
"0","3","1","2","0","0",4,8,9,16,6,2
"0","3","0","2","1","0",4,2,16,19,14,1
"0","1","0","3","1","1",-1,4,16,20,16,1
"1","2","0","1","3","3",1,2,16,17,12,1
"0","1","0","0","1","1",2,3,4,13,7,2
"0","1","0","1","4","1",3,4,13,18,11,1
"1","1","0","1","0","0",1,6,12,17,14,1
"0","2","0","1","1","1",3,0,11,16,9,2
"0","0","0","1","1","0",3,1,12,18,16,1
"0","1","0","2","0","0",2,1,14,15,10,2
"0","3","0","2","1","0",7,1,13,20,16,1
"0","1","0","2","4","1",4,0,14,20,16,1
"0","2","0","2","1","0",7,5,14,19,15,3
"1","1","0","2","1","0",3,0,10,13,11,2
"0","0","0","2","1","3",1,4,15,19,10,1
"0","0","0","1","1","0",5,7,9,19,16,3
"0","0","0","1","1","1",7,5,16,20,16,3
"0","1","0","1","1","0",-2,0,15,19,11,1
"0","3","0","2","1","3",4,7,15,19,14,3
"0","3","0","2","1","3",4,7,15,19,14,3
"0","3","0","2","1","3",4,7,15,19,14,3
"0","3","0","2","1","3",4,7,15,19,14,3
"0","0","0","1","0","0",-1,0,12,17,15,1
"0","0","0","2","1","1",-1,5,11,17,16,1
"1","0","0","1","1","1",4,6,16,20,16,3
"1","1","0","0","1","1",0,0,14,19,16,1
"0","3","0","1","1","0",1,6,16,19,10,3
"0","1","0","2","1","0",2,1,4,10,2,2
"0","1","0","1","1","0",3,1,12,17,14,1
"0","2","0","2","1","0",3,8,5,15,5,2
"0","0","0","2","1","1",0,3,10,17,14,1
"0","1","0","2","1","1",0,10,15,19,15,3
"0","2","0","0","1","0",6,5,9,14,13,2
"0","2","0","0","1","0",6,5,9,14,13,2
"0","2","0","0","1","0",6,5,9,14,13,2
"0","2","0","0","1","0",6,5,9,14,13,2
"0","2","0","0","1","0",6,5,9,14,13,2
"0","2","0","0","1","0",6,5,9,14,13,2
"0","3","0","1","1","0",0,0,12,17,16,1
"0","2","0","1","1","1",1,3,11,15,14,2
"0","2","0","2","0","1",1,5,13,15,9,2
"1","2","0","2","1","1",4,2,16,20,15,1
"0","4","0","2","3","3",-2,0,9,12,10,2
"0","3","0","2","0","0",5,6,15,19,14,3
"0","4","0","2","1","0",2,7,13,13,11,2
"0","2","0","1","1","0",2,2,16,20,16,1
"0","3","0","3","1","0",2,0,12,16,9,2
"0","3","0","2","3","3",4,1,10,19,12,2
"0","1","0","2","2","2",3,5,10,16,15,1
"0","1","0","1","1","1",1,4,14,20,15,1
"1","1","0","1","1","1",-2,5,14,16,8,2
"1","0","0","2","1","0",0,3,16,20,13,1
"1","3","1","0","1","1",2,0,11,14,12,2
"0","3","0","2","1","1",-1,-1,8,13,6,2
