"id","sex","yr","age","cgpa","bdevice","adevice","btime","atime","bdevstudy","adevstudy","bconc","aconc","bbed","abed","baffbed","aaffbed","btire","atire","socdist","isolate","personality","lazy","boredom","psycho","afford","unhealthy","covidstress","devicegpa","assgn","f2f","quiz"
1,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","6-9","9-12","2","3","4","4","3","1","3","3","3","4","3","3","4","4","3","4","4","3","3","3","4","3","4"
2,"Male","Other","+30","+90","Laptop","Laptop","1-3 ","3-6","3","4","1","1","3","1","2","3","1","1","3","2","1","2","1","4","3","1","2","2","1","2","1"
3,"Female","First/Freshman","18-24","+90","Other","Mobile phone","1-3 ","3-6","1","4","4","4","4","0","0","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
4,"Male","Second/ Sophomore","18-24","70-79","Laptop","Laptop","6-9","1-3 ","2","4","3","4","4","3","4","4","4","3","4","4","2","0","4","3","4","2","3","3","4","3","2"
5,"Male","Third/Junior","18-24","70-79","Laptop","Laptop","1-3 ","1-3 ","3","3","1","1","1","1","1","1","1","1","3","1","4","2","1","3","3","1","1","3","3","4","1"
6,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Laptop","1-3 ","3-6","2","4","3","4","4","1","2","4","2","4","2","4","4","4","4","4","4","4","4","4","4","4","4"
7,"Female","Third/Junior","18-24","70-79","Laptop","Laptop","1-3 ","9-12","1","3","3","2","1","1","3","4","3","4","3","4","4","4","4","4","4","4","4","4","4","3","1"
8,"Male","First/Freshman","25-30","80-89","Laptop","Laptop","3-6","3-6","3","3","0","0","1","1","2","2","3","3","4","4","4","4","2","3","4","3","3","3","1","4","3"
9,"Female","Second/ Sophomore","18-24","+90","Laptop","Laptop","3-6","3-6","3","3","1","1","2","2","3","3","2","3","3","3","3","4","4","4","3","4","4","2","4","4","2"
10,"Female","First/Freshman","18-24","70-79","Other","Other","1-3 ","6-9","0","4","2","1","3","0","3","4","2","4","2","3","3","2","3","4","4","2","2","3","4","4","4"
11,"Female","Second/ Sophomore","18-24","+90","Laptop","Mobile phone","3-6","9-12","4","4","0","0","4","0","0","4","2","4","0","0","0","0","1","1","2","1","1","2","3","0","1"
12,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","3","4","0","0","4","4","2","2","4","4","4","3","2","3","3","4","3","4","4","2","2","3","4"
13,"Female","First/Freshman","18-24","+90","Laptop","Laptop","1-3 ","3-6","3","4","3","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
14,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","3-6","3-6","2","4","3","1","4","0","1","4","4","4","4","4","3","4","4","4","4","2","4","2","4","3","2"
15,"Female","Second/ Sophomore","18-24","+90","Mobile phone","Laptop","3-6","6-9","3","4","2","3","3","3","3","4","3","4","3","3","3","3","3","4","4","3","4","2","4","4","3"
16,"Male","Second/ Sophomore","18-24","80-89","Other","Mobile phone","1-3 ","3-6","2","3","3","3","1","1","4","3","3","3","3","3","3","2","3","3","3","3","3","3","2","3","3"
17,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","3","4","1","1","3","3","2","2","3","3","1","3","4","3","4","3","3","2","3","3","3","3","2"
18,"Female","Third/Junior","18-24","+90","I pad/ Tablet","Laptop","3-6","12+","2","4","1","3","4","0","2","4","1","4","3","4","3","4","3","4","3","4","4","4","4","4","2"
19,"Female","Second/ Sophomore","18-24","80-89","Laptop","Mobile phone","1-3 ","6-9","4","0","4","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","1"
20,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","3-6","6-9","3","4","3","4","4","3","4","4","4","4","3","4","4","4","3","4","4","4","4","4","4","4","4"
21,"Female","Third/Junior","18-24","80-89","Mobile phone","Mobile phone","6-9","1-3 ","0","3","2","2","3","0","2","3","4","4","2","3","4","4","4","4","4","4","4","4","4","4","1"
22,"Female","Second/ Sophomore","25-30","80-89","Mobile phone","Mobile phone","3-6","6-9","2","3","3","3","3","3","2","2","3","4","3","3","4","4","3","4","3","2","3","4","3","3","3"
23,"Female","Fourth/Senior","18-24","80-89","Other","Laptop","3-6","6-9","2","4","3","2","3","1","2","4","3","4","2","3","2","3","3","3","3","2","4","3","4","4","4"
24,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","2","3","3","3","2","2","4","3","4","4","4","4","2","3","4","4","4","3","4","4","4","4","4"
