"id","sex","yr","age","cgpa","bdevice","adevice","btime","atime","bdevstudy","adevstudy","bconc","aconc","bbed","abed","baffbed","aaffbed","btire","atire","socdist","isolate","personality","lazy","boredom","psycho","afford","unhealthy","covidstress","devicegpa","assgn","f2f","quiz","class"
1,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","6-9","9-12","Uncertain","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree",1
2,"Male","Other","+30","+90","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Disagree","Disagree","Agree","Disagree","Uncertain","Agree","Disagree","Disagree","Agree	","Uncertain	","Disagree","Uncertain	","Disagree","Strongly Agree","Agree","Disagree","Uncertain","Uncertain","Disagree","Uncertain","Disagree",2
3,"Female","First/Freshman","18-24","+90","Other","Mobile phone","1-3 ","3-6","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
4,"Male","Second/ Sophomore","18-24","70-79","Laptop","Laptop","6-9","1-3 ","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Uncertain	","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Uncertain","Agree","Agree","Strongly Agree","Agree","Uncertain",2
5,"Male","Third/Junior","18-24","70-79","Laptop","Laptop","1-3 ","1-3 ","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree	","Disagree","Strongly Agree","Uncertain	","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Strongly Agree","Disagree",2
6,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Laptop","1-3 ","3-6","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
7,"Female","Third/Junior","18-24","70-79","Laptop","Laptop","1-3 ","9-12","Disagree","Agree","Agree","Uncertain","Disagree","Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree",1
8,"Male","First/Freshman","25-30","80-89","Laptop","Laptop","3-6","3-6","Agree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Uncertain","Uncertain","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Agree",1
9,"Female","Second/ Sophomore","18-24","+90","Laptop","Laptop","3-6","3-6","Agree","Agree","Disagree","Disagree","Uncertain","Uncertain","Agree","Agree","Uncertain","Agree","Agree	","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Uncertain",1
10,"Female","First/Freshman","18-24","70-79","Other","Other","1-3 ","6-9","Strongly Disagree","Strongly Agree","Uncertain","Disagree","Agree","Strongly Disagree","Agree","Strongly Agree","Uncertain","Strongly Agree","Uncertain	","Agree	","Agree	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
